url,id_inmueble,precio,titulo,tipo_inmueble,calle,colonia,alcaldia,cp,recamaras,banos,m2_construidos,estacionamientos,antiguedad,amenidades,precio_m2_colonia,latitud,longitud,fecha_extraccion
https://propiedades.com/inmuebles/departamento-en-venta-kansas-napoles-df-30033357#pagina=20&tipos=residencial-venta&area=df&pos=44,28972526.0,5050000.0,"Se vende departamento en KANSAS, Colonia Napoles, C.P. 03810",Departamento,Kansas,Napoles,Desconocida,3810.0,2.0,2.0,30.0,1.0,3.0,[],51830.0,,,2025-11-30 08:10:33
https://propiedades.com/inmuebles/casa-en-venta-naranjo-florida-df-26643278#pagina=24&tipos=residencial-venta&area=df&pos=4,27383780.0,18450000.0,"Casa en venta, Naranjo, Colonia Florida, C.P. 01030",Casa,Venta,Florida,Desconocida,1030.0,3.0,3.0,300.0,3.0,,[],48860.0,,,2025-11-30 08:10:49
https://propiedades.com/inmuebles/departamento-en-venta-ocetotl-exejido-de-san-pablo-tepetlapa-df-30463098#pagina=17&tipos=residencial-venta&area=df&pos=1,30305441.0,4631000.0,"Se vende departamento en Ocetotl, Colonia Ex-Ejido de San Pablo Tepetlapa, C.P. 04840",Departamento,Ocetotl,Ex-ejido de San Pablo Tepetlapa,Desconocida,4840.0,2.0,2.0,66.0,1.0,,[],40550.0,,,2025-11-30 08:11:04
https://propiedades.com/inmuebles/departamento-en-venta-calz-de-tlalpan-nativitas-ciudad-de-mexico-cdmx-nativitas-df-30363306#pagina=28&tipos=residencial-venta&area=df&pos=38,30346819.0,3414768.0,"Se vende departamento en Calz. de Tlalpan, Nativitas, Ciudad de México, CDMX, Colonia Nativitas, C.P. 03500",Departamento,"Nativitas, Ciudad de México",Nativitas,Tlalpan,3500.0,2.0,1.0,70.0,1.0,1.0,[],41860.0,19.379394,-99.1402,2025-11-30 08:11:19
https://propiedades.com/inmuebles/departamento-en-venta-eje-central-lazaro-cardenas-189-guerrero-cuauhtemoc-06300-ciudad-de-mexico-cdmx-189-guerrero-df-30528006#pagina=13&tipos=residencial-venta&area=df&pos=18,30296886.0,56.0,"Venta de departamento Eje Central Lázaro Cárdenas 189, Guerrero, Cuauhtémoc, 06300 Ciudad de México, CDMX #189Int. 4000, Colonia Guerrero, C.P. 06300",Departamento,,Guerrero,Cuauhtémoc,6300.0,2.0,1.0,47.0,1.0,7.0,"['Cisterna', 'Telefonía']",16480.0,19.44491,-99.145173,2025-11-30 08:11:33
https://propiedades.com/inmuebles/casa-en-venta-jimenez-y-muro-periodista-df-30064633#pagina=22&tipos=residencial-venta&area=df&pos=7,29738047.0,14900000.0,"Venta de casa Jimenez y Muro, Colonia Periodista, C.P. 11220",Casa,Av. Ingenieros Militares,Periodista,Desconocida,11220.0,4.0,4.0,0.0,5.0,43.0,[],39600.0,,,2025-11-30 08:11:44
https://propiedades.com/inmuebles/casa-en-venta-la-martinica-df-30556003#pagina=17&tipos=residencial-venta&area=df&pos=41,30443191.0,3200000.0,"Venta de casa , Colonia La Martinica, C.P. 01619",Casa,Calle 4,La Martinica,Desconocida,1619.0,3.0,2.0,122.0,,30.0,[],22520.0,,,2025-11-30 08:12:02
https://propiedades.com/inmuebles/casa-en-venta-la-malinche-colinas-del-bosque-df-29945724#pagina=34&tipos=residencial-venta&area=df&pos=1,,33000000.0,"Se vende casa en La Malinche, Colonia Colinas del Bosque, C.P. 14608",Casa,La Malinche,Colinas del Bosque,Desconocida,14608.0,4.0,4.0,,,11.0,"['Cisterna', 'Telefonía']",35730.0,,,2025-11-30 08:12:18
https://propiedades.com/inmuebles/departamento-en-venta-eje-central-lazaro-cardenas-879-narvarte-oriente-benito-juarez-03023-ciudad-de-mexico-cdmx-879-narvarte-oriente-df-30361274#pagina=35&tipos=residencial-venta&area=df&pos=19,30327419.0,4300000.0,"Departamento disponible en venta en Eje Central Lázaro Cárdenas 879, Narvarte Oriente, Benito Juárez, 03023 Ciudad de México, CDMX #879, Colonia Narvarte Oriente, C.P. 03023",Departamento,Eje Central Lázaro Cárdenas 879,Narvarte Oriente,Benito Juárez,3023.0,2.0,2.0,78.0,2.0,7.0,[],41310.0,19.392385,-99.146418,2025-11-30 08:12:39
https://propiedades.com/inmuebles/departamento-en-venta-lago-iseo-49-anahuac-i-seccion-df-27598813#pagina=34&tipos=residencial-venta&area=df&pos=12,30581573.0,1990000.0,"Venta departamento en Lago Iseo #49, Colonia Anahuac I Sección, C.P. 11320",Departamento,Lago Iseo #49,Anahuac I Sección,Miguel Hidalgo,11320.0,3.0,1.0,62.0,,49.0,[],39760.0,19.407116,-99.190617,2025-11-30 08:13:05
https://propiedades.com/inmuebles/departamento-en-venta-av-rio-san-joaquin-498-amp-granada-miguel-hidalgo-11529-ciudad-de-mexico-cdmx-498-ampliacion-granada-df-30378661#pagina=8&tipos=residencial-venta&area=df&pos=45,30537460.0,16500001.0,"Departamento en venta disponible en Av. Río San Joaquín 498, Amp Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX #498, Colonia Ampliación Granada, C.P. 11529",Departamento,Avenida Río San Joaquín 498,Ampliación Granada,Miguel Hidalgo,11529.0,3.0,2.0,184.0,3.0,1.0,[],65250.0,19.444264,-99.199186,2025-11-30 08:13:20
https://propiedades.com/inmuebles/departamento-en-venta-ocetotl-exejido-de-san-pablo-tepetlapa-df-30463097#pagina=17&tipos=residencial-venta&area=df&pos=3,27996603.0,4631000.0,"Venta de departamento en Ocetotl, Colonia Ex-Ejido de San Pablo Tepetlapa, C.P. 04840",Departamento,"una de las zonas más solicitadas y exclusivas de Coyoacán, Ciudad de México",Ex-ejido de San Pablo Tepetlapa,Desconocida,4840.0,2.0,2.0,140.0,2.0,,[],40550.0,,,2025-11-30 08:13:35
https://propiedades.com/inmuebles/departamento-en-venta-cda-monte-kamerum-42-lomas-de-chapultepec-i-seccion-df-29994899#pagina=3&tipos=residencial-venta&area=df&pos=39,27975159.0,10500000.0,"Departamento en venta disponible en cda monte kamerum 42, Colonia Lomas de Chapultepec I Sección, C.P. 11000",Departamento,calle cerrada con pluma y doble sistema de seguridad 24 hrs.,Lomas de Chapultepec I Sección,Miguel Hidalgo,11000.0,3.0,2.0,200.0,2.0,5.0,[],58630.0,19.410697,-99.21981,2025-11-30 08:13:53
https://propiedades.com/inmuebles/departamento-en-venta-recreo-77-actipan-df-28502064#pagina=21&tipos=residencial-venta&area=df&pos=1,30589427.0,3845000.0,"Venta de departamento en Recreo #77, Colonia Actipan, C.P. 03230",Departamento,Recreo #77,Actipan,Benito Juárez,3230.0,2.0,1.0,85.0,1.0,30.0,['Cisterna'],40900.0,19.372203,-99.177341,2025-11-30 08:14:12
https://propiedades.com/inmuebles/casa-en-venta-canal-tlicuilli-barrio-18-16034-ciudad-de-mexico-cdmx-sn-18-df-30516954#pagina=23&tipos=residencial-venta&area=df&pos=45,29834898.0,4300000.0,"Venta casa en Canal Tlicuilli, Barrio 18, 16034 Ciudad de México, CDMX #s/n, Colonia 18, C.P. 16034",Casa,Canal Tlicuilli,18,Desconocida,16034.0,4.0,3.0,,2.0,,['Cisterna'],28210.0,,,2025-11-30 08:14:26
